
2015-01-12 00:33:47: Process duration STREAM FRAME 10
2015-01-12 00:33:47: Process duration TOTAL 13
2015-01-12 00:33:48: Process duration STREAM FRAME 2
2015-01-12 00:33:48: Process duration TOTAL 5
2015-01-12 00:33:48: Process duration STREAM FRAME 6
2015-01-12 00:33:48: Process duration TOTAL 9
2015-01-12 00:33:48: Process duration STREAM FRAME 2
2015-01-12 00:33:48: Process duration TOTAL 6
2015-01-12 00:33:48: Process duration STREAM FRAME 1
2015-01-12 00:33:48: Process duration TOTAL 5
2015-01-12 00:33:48: Process duration STREAM FRAME 6
2015-01-12 00:33:48: Process duration TOTAL 9
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 4
2015-01-12 00:33:48: Process duration STREAM FRAME 1
2015-01-12 00:33:48: Process duration TOTAL 4
2015-01-12 00:33:48: Process duration STREAM FRAME 4
2015-01-12 00:33:48: Process duration TOTAL 7
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 5
2015-01-12 00:33:48: Process duration STREAM FRAME 5
2015-01-12 00:33:48: Process duration TOTAL 9
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 7
2015-01-12 00:33:48: Process duration STREAM FRAME 7
2015-01-12 00:33:48: Process duration TOTAL 12
2015-01-12 00:33:48: Process duration STREAM FRAME 13
2015-01-12 00:33:48: Process duration TOTAL 16
2015-01-12 00:33:48: Process duration STREAM FRAME 16
2015-01-12 00:33:48: Process duration TOTAL 23
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 3
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 3
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 11
2015-01-12 00:33:48: Process duration STREAM FRAME 0
2015-01-12 00:33:48: Process duration TOTAL 3
2015-01-12 00:33:48: Process duration STREAM FRAME 4
2015-01-12 00:33:48: Process duration TOTAL 6
2015-01-12 00:33:48: Process duration STREAM FRAME 7
2015-01-12 00:33:48: Process duration TOTAL 9
2015-01-12 00:33:48: Process duration EVENT FRAME 1
2015-01-12 00:33:48: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration EVENT FRAME 445
2015-01-12 00:33:49: Process duration TOTAL 448
2015-01-12 00:33:49: Process duration STREAM FRAME 448
2015-01-12 00:33:49: Process duration TOTAL 451
2015-01-12 00:33:49: Process duration STREAM FRAME 451
2015-01-12 00:33:49: Process duration TOTAL 454
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 5
2015-01-12 00:33:49: Process duration TOTAL 7
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 6
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 4
2015-01-12 00:33:49: Process duration TOTAL 6
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 1
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 6
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 6
2015-01-12 00:33:49: Process duration STREAM FRAME 6
2015-01-12 00:33:49: Process duration TOTAL 8
2015-01-12 00:33:49: Process duration STREAM FRAME 8
2015-01-12 00:33:49: Process duration TOTAL 10
2015-01-12 00:33:49: Process duration STREAM FRAME 10
2015-01-12 00:33:49: Process duration TOTAL 12
2015-01-12 00:33:49: Process duration STREAM FRAME 13
2015-01-12 00:33:49: Process duration TOTAL 16
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 5
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 1
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 4
2015-01-12 00:33:49: Process duration TOTAL 7
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 5
2015-01-12 00:33:49: Process duration TOTAL 7
2015-01-12 00:33:49: Process duration STREAM FRAME 7
2015-01-12 00:33:49: Process duration TOTAL 9
2015-01-12 00:33:49: Process duration STREAM FRAME 1
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 3
2015-01-12 00:33:49: Process duration TOTAL 5
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 3
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 2
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:49: Process duration STREAM FRAME 0
2015-01-12 00:33:49: Process duration TOTAL 1
2015-01-12 00:33:49: Process duration STREAM FRAME 2
2015-01-12 00:33:49: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 1
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 3
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 5
2015-01-12 00:33:50: Process duration STREAM FRAME 5
2015-01-12 00:33:50: Process duration TOTAL 7
2015-01-12 00:33:50: Process duration STREAM FRAME 1
2015-01-12 00:33:50: Process duration TOTAL 3
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 2
2015-01-12 00:33:50: Process duration TOTAL 4
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 3
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 5
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 2
2015-01-12 00:33:50: Process duration TOTAL 3
2015-01-12 00:33:50: Process duration STREAM FRAME 0
2015-01-12 00:33:50: Process duration TOTAL 2
2015-01-12 00:33:50: Process duration STREAM FRAME 3
2015-01-12 00:33:50: Process duration TOTAL 4
